ID,词根,来源
76,TENU,来自拉丁语的 tenu 意为 thin。同义词根为 mac。
77,COL[CUL],"来自拉丁语的 col 意为 neck。此外 col 还有 to filter, large intestine, to till, glue 等意思。cul 是其变形。"
78,COST,"来自拉丁语的 cost 意为 rib, side。"
79,JUD,来自拉丁语的 jud 意为 to judge。
80,"JUNCT, JOIN [JUG]","来自拉丁语的 junct, join 意为 to join, to bind。jug 是它们的变形。此外,还有意为 to bind, to tie 的来自拉丁语的 lig [li, leag, ly], cinct, nect/nex, strict/string/stress 和来自盎格鲁-撒克逊语的 bond,含义相似。"
81,UMBR,"来自拉丁语的 umbr 意为 shade, to shadow。"
82,FIN,"来自拉丁语的 fin 意为 end, limit。同义词根有来自拉丁语的 termin, ultim 和来自希腊语的 bys。"
83,"POS, POST, PON, POUND","来自拉丁语的 pos, post, pon, pound 意为 to put, to place。同义词根有来自拉丁语的loc, sert, stal 和来自希腊语的 thes / thet / them, top 等。"
84,"TRI, TRIT","来自拉丁语的 tri, trit 意为 to rub。同义词根为 fric。"
85,"DOT, DON [DOW, DOS], DAT [DIT]","来自拉丁语的 dot, don 意为 to give。dow, dos 是其变形。此外,与此相似的还有 dat 及其变形 dit。"
86,ONYM[ONOM],"来自希腊语的 onym 意为 name, word。onom 是其变形。"
87,BYS,"来自希腊语的 bys 意为 end, bottom。同义词根有来自拉丁语的 fin, termin, ultim等。"
88,ARCH,"来自希腊语的 arch 意为 government, to rule。arch 还有 chief, first, old 的含义。同义词根有来自希腊语的 cracy/crat 和来自拉丁语的 reg。"
89,"PATH, PAT, PASS","来自希腊语的 path 意为 to feel, to suffer。来自拉丁语的 pat, pass 与其形态相似,含义相同。同义词根有来自拉丁语的 sent / sens 和来自希腊语的 (a) esthes / (a) esthet。"
90,"MNE, MNES, MEM(OR)","来自希腊语的 mne, mnes 意为 to remember。此外,来自拉丁语的 mem (or) 也有相似的含义。"
91,MORPH,来自希腊语的 morph 意为 form。同义词根为 form。
92,TROPH,"来自拉丁语的 troph 意为to nourish。同义词根有来自拉丁语的 nutri, al。"
93,"GNO [GN, N]",来自拉丁语的 gno 意为 to know。其变形为 gn 和 n。同义词根有来自拉丁语的 not 和 sci。
94,"(A)ESTHET, (A)ESTHES","来自希腊语的 (a) esthet, (a) esthes意为 to feel。同义词根有来自拉丁语的 sent/sens, pat/pass和来自希腊语的path。"
95,MENT,来自拉丁语的 ment 意为 mind。
96,PACT,"来自拉丁语的 pact意为 to fasten, to agree。同义词根有来自拉丁语的fix。"
97,"PLE, PLET, PLI, PLY, PLEN","来自拉丁语的ple, plet, pli, ply, plen意为 to fill, full。此外,意为 to fold 的 plic, ply, pli, plex, plo等与这些词根形态相似,注意不要混淆。"
98,PRESS,来自拉丁语的 press 意为 to press。
99,"CEPT, CAP, CAPT, CEIV [CEIT, CIP, CUP]","来自拉丁语的 cept, cap, capt, ceiv 意为 to take, to seize。变形为 ceit, cip, cup。同义词根有来自拉丁语的 prehend / prehens, pris, empt / em, rap / rav, sum / sumpt, lab / lep 等。其中 cap [cip] 还有 head 的含义。"
100,FER,"来自拉丁语的 fer 意为 to carry, to bear。lat 是 ferre 的不规则过去分词, lat 和 fer 可以一起学习。同义词根有来自拉丁语的 ger/gest, port, veh/vect 和来自希腊语的 phor/pher。"
101,FISC,"来自拉丁语的 fisc 意为 chest, money basket。"
102,"SEQU, SECUT [SU]","来自拉丁语的 sequ, secut 意为 to follow。su 为其变形。"
103,SERV,"来自拉丁语的 serv 意为 to serve, to keep。"
104,"STRAIN, STRICT, STRING, STRESS [STRANG]","来自拉丁语的 strain, strict, string, stress 意为 to bind, to tie, to draw tight。strang 是它们的变形。同义词根有来自拉丁语的 lig [li, leag, ly], cinct, nect/next 等和来自盎格鲁-撒克逊语的 bond。此外，意为 to join 的 junct/join/jug 也与这些词根相似。"
105,TEMPOR,"来自拉丁语的 tempor 意为 time, age, season。同义词根有来自拉丁语的 ev 和来自希腊语的 chron。"
106,"CID, CAD, CAS","来自拉丁语的 cid, cad, cas 意为 to fall。同义词根有来自拉丁语的 laps 和来自希腊语的 pto。"
107,SOLID [SOLD],"来自拉丁语的 solid 意为 firm, whole。注意勿与意为 comfort, alone, sun, whole / entire 的 sol 相混淆。"
108,"VICT, VINC","来自拉丁语的 vict, vinc 意为 to conquer, to show。"
109,LABOR,来自拉丁语的 labor 意为 to work。同义词根有来自拉丁语的 op。
110,"MOT, MOV, MOB","来自拉丁语的 mot, mov, mob 意为 to move。同义词根有来自拉丁语的 migr 和来自希腊语的 kine / cinema。"
111,"GER, GEST [GIST]","来自拉丁语的 ger, gest 意为 to carry, to bear。其变形是 gist。同义词根有来自拉丁语的 fer, lat, port, veh/vect 和来自希腊语的 phor/pher。"
112,"VIA [VI], VEY, VOY","来自拉丁语的 via 意为 way, road。via 里的""a""脱落后变成 vi。词根 vey, voy 意为 to carry, way。需要注意的是，purvey / survey, clairvoyant / voyeur 等单词里的 vey/voy 意为 to look。同义词根有来自希腊语的 od/hod。"
113,BAT,"来自拉丁语的 bat 意为 to strike, to beat。同义词根有来自拉丁语的 flict, cuss, fend/fens [fenc, fest], lid/lis, plaud/plaus [plod, plos, plex] 等和来自盎格鲁-撒克逊语的 sla。此外，bat 还有 to go 的含义。"
114,"CIS [CAS, CHIS]","来自拉丁语的 cis 意为 to cut。其变形为 cas 和 chis。同义词根有来自拉丁语的 tom [tem], scind/scis, sect, sever, tail, tons, trench, cop/coup 等。"
115,GEN [GN],"来自希腊语的 gen 意为 birth, creation, race, kind。gn 是它的变形。"
116,SOL,"来自拉丁语的 sol 意为来自 alone / single, whole / entire, sun, comfort。此外，注意不要将其与意为 firm / whole 的来自拉丁语的 solid 相混淆。"
117,"TEND, TENS, TENT","来自拉丁语的 tend, tens, tent 意为 to stretch。"
118,"AG, ACT, IG","来自拉丁语的 ag, act, ig 意为 to drive, to do。当 ag 之前为元音时，ag 中的""a""脱落变成""g""。这几个词根用做 to drive 之意时，其同义词根有来自拉丁语的 flig, pel / puls [peal]。此外，来自拉丁语的词根 duct / duc [du], men [mean] 及来自希腊语的 agog 意为 to lead，含义相似。"
119,PRIS,"来自拉丁语的 pris 意为 to take, to seize。同义词根有来自拉丁语的 cap / capt / cept / ceiv [cip, cup, ceit], empt/em, rap/rav, sum/sumpt, lab/lep 等。"
120,"PUNCT, PUNG [PUNC, POUNC, POIGN, PON, POINT]","来自拉丁语的 punct, pung 意为 to prick。punc, pounc, poign, pon, point 等是它们的变形。同义词根有来自拉丁语的 stinct/sting/stig/sti。"
121,"CLUD, CLUS [CLOS, CLOIS, CLAUS, CLOT]","来自拉丁语的 clud, clus 意为 to shut。clos, clois, claus, clot 是它们的变形。"
122,DOL,来自拉丁语的 dol 意为 to grieve。同义词根为来自拉丁语的 mourn。
123,"FLAGR, FLAM","来自拉丁语的 flagr, flam 意为 to burn。同义词根有来自拉丁语的 arid, caust/caut, torr, 来自希腊语的 ether, 以及来自盎格鲁-撒克逊语的 burn/bran。"
124,"SECR, SACR, SANCT [SACER, SAINT]","来自拉丁语的 secr, sacr, sanct 意为 holy。sacer, saint 是它们的变形。同义词根有来自拉丁语的 pi 和来自希腊语的 hagi。"
125,"ROD, ROS","来自拉丁语的 rod, ros 意为 to gnaw。"
126,"ALESC [ESC, ALIT, OLESC]","来自拉丁语的 alesc 意为 becoming, growing, esc, alit, olesc是它的变形。"
127,LAT,"来自拉丁语的 lat 意为 to carry, to bear, 与 fer 来源相同。同义词根有来自拉丁语的 ger/gest, port, veh/vect 和来自希腊语的 phor/pher。"
128,MISER,"来自拉丁语的 miser 意为 to pity, wretched。"
129,"COC, COCT","来自拉丁语的 coc, coct 意为 to cook, to mature。"
130,STERN [STREN],"来自拉丁语的 stern 意为 rigid, 它的变形为 stren。stern 也有 chest, breast 的意思,但此种用法不多见。"
131,"TANG, TACT, TING[TIG, TAG]","来自拉丁语的 tang, tact, ting 以及它们的变形 tig, tag 意为 to touch。同义词根有来自拉丁语的 palp 和 tegr。"
132,ROB,"来自拉丁语的 rob 意为 strong, strength。同义词根有来自拉丁语的 fort/forc, firm, bil 等,以及来自拉丁语的意为strong, worth 的val。"
133,PLAC [PLAIS],"来自拉丁语的 plac 意为 to please, to soothe, peace,它的变形为 plais。"
134,"DIGN [DAIN, DEIGN]","来自拉丁语的 dign 意为 worthy,它的变形为 dain, deign。"
135,SIGN,"来自拉丁语的 sign 意为 mark, sign。同义词根有来自拉丁语的 marc/mark, 来自希腊语的 sem, 以及来自盎格鲁-撒克逊语的 beck/beac。"
136,SUMM,"来自拉丁语的 summ 意为 highest, total, sum。"
137,"VIV, VIT","来自拉丁语的 viv, vit 意为 to live, life。同义词根有来自拉丁语的 vig/veg, anim 以及来自希腊语的 bio。"
138,MENS,"来自拉丁语的 mens 意为 to measure。同义词根有来自拉丁语的 meter, metr。"
139,TUM,"来自拉丁语的 tum 意为 to swell。同义词根有来自希腊语的 bry 和来自盎格鲁-撒克逊语的 bel, bla。"
140,"VOLV, VOLU","来自拉丁语的 volv, volu 意为 to roll, to turn。"
141,PICT[PIG],"来自拉丁语的 pict 意为 to paint, 它的变形为 pig。"
142,TERR,"来自拉丁语的 terr 意为 to frighten, earth。"
143,"TRA, TRACT [TREAT]","来自拉丁语的 tra, tract 意为 to draw, 变形为 treat。"
144,VAC[VAS],"来自拉丁语的 vac 意为 empty,它的变形为 vas。同义词根有来自拉丁语的 van, void 以及来自盎格鲁-撒克逊语的 wan。"
145,"SPOND, SPONS [SPOUS]","来自拉丁语的 spond, spons 意为 to promise, to answer, 它的变形为 spous。"
146,TEST,来自拉丁语的 test 意为 witness。
147,"GRAD, GRESS [GRED]","来自拉丁语的 grad, gress 意为 to go, 它们的变形为 gred。同义词根有来自拉丁语的 ced/cess [ceed, ceas], it, vad / vas 和来自希腊语的 bat [bet, bit] 以及来自盎格鲁-撒克逊语的 fare。"
148,PLOR,来自拉丁语的 plor 意为 to weep。
149,"VID, VIS [VIC, VIEW, VOY, VEY, VEI, VY, VI, UD]","来自拉丁语的 vid, vis 意为 to look, to see,它们的变形为 vic, view, voy, vey/vei, vy/vi, ud等。同义词根有来自拉丁语的 spect/spec[spic, spi, spy], the, tu 和来自希腊语的 orama, scop 以及来自盎格鲁-撒克逊语的see等。此外,还有来自拉丁语的意为 eye 的 ocul,来自希腊语的op(t), ophthalm等,含义相似。"
150,VOID,"来自拉丁语的 void 意为 empty。同义词根有来自拉丁语的 vac, van 以及来自盎格鲁-撒克逊语的 wan 等。"
151,CREP,来自拉丁语的 crep 意为 to rattle。
152,"MOL, MOLL","来自拉丁语的 mol 意为 to grind, grain, burden, heap, moll 意为 soft。"
153,"RID, RIS","来自拉丁语的 rid, ris 意为 to laugh。"
154,"ST, STAT, STIT, SIST","来自拉丁语的 st, stat, stit, sist 意为 to stand。反义词根有来自拉丁语的 sed, sid, sess 等。"
155,FAC,"来自拉丁语的 fac 意为 face。注意不要将其与意为 to do, to make 的 fac 相混淆。"
156,MEN [MEAN],"来自拉丁语的 men 意为 to lead,它的变形为mean。同义词根有来自拉丁语的duct/duc [du] 以及来自希腊语的agog。此外,意为 to drive 的来自拉丁语的ag/ig/act以及pel/ puls [peal]等也具有近似的含义。"
157,"LEC [LET, LIC, LIG]","来自拉丁语的 lec 意为 to entice, 它的变形为 let, lic, lig 等。"
158,"LIN, LIGN","来自拉丁语的 lin, lign 意为 line。"
159,"LINQU [LIC, LICT]","来自拉丁语的 linqu 意为 to leave, 它的变形为 lic, lict。同义词根有来自拉丁语的lip。"
160,PREC,来自拉丁语的 prec 意为 to pray。
161,PRED,来自拉丁语的 pred 意为 to plunder。
162,"CRED[CREED, CRE]","来自拉丁语的 cred 意为 to believe, to trust,它的变形为 creed 和 cre。同义词根有来自拉丁语的 fid [fi, fy, feder, feal]以及来自盎格鲁-撒克逊语的tru[tro]等。"
163,"CRET, CERN [CREET, CRE]","来自拉丁语的 cret, cern 意为 to observe, to separate, 变形为 creet, cre。此外,意为 to grow, to increase 的 cre, cru与这两词根的形态相似,注意不要混淆。"
164,"EST, ESS, ENT","来自拉丁语的 est, ess, ent 意为 to be。"
165,SECT,"来自拉丁语的 sect 意为 to cut。同义词根有来自希腊语的 tom/tem, 来自拉丁语的 cis, cop/coup, scind/scis, sever, tons, trench, 以及来自盎格鲁-撒克逊语的 tail。"
166,LAPID,"来自拉丁语的 lapid 意为 stone。同义词根有来自希腊语的 lith, petr。"
167,MIN[MEN],"来自拉丁语的 min 意为 to project, to hang, 它的变形为 men。此外,来自拉丁语 minutus 的 min 也有 small 之意,注意不要混淆。"
168,"PEL, PULS [PEAL]","来自拉丁语的 pel, puls 意为 to drive, 它们的变形为 peal。同义词根有来自拉丁语的 ig/ag/act 和 flig。此外, 来自拉丁语的意为 to lead 的 duc/duct[du], men[mean]以及来自希腊语的agog也有近似的含义。"
169,"SUAD, SUAS [SUAV]","来自拉丁语的 suad, suas 意为 to persuade, to advise, 它的变形为 suav。"
170,ARM,来自拉丁语的 arm 意为 weapon。
171,VERG,"来自拉丁语的 verg 意为 to turn, to bend。同义词根有来自拉丁语的vert/vers, rot 和来自希腊语的stroph,以及来自盎格鲁-撒克逊语的 tour等。"
172,VULG[MULG],"来自拉丁语的 vulg 意为 people,它的变形为 mulg。同义词根有来自拉丁语的 popul[publ], pleb 和来自希腊语的 demo,以及来自盎格鲁-撒克逊语的la等。此外,意为man(人类、人)的anthrop/man,意为hom,man(男人)的andr/ mascul/vir,以及意为woman(女人)的femin/gyn/virg等词根也与其意思相近。"
173,"FID [FI, FY, FEDER, FEAL]","来自拉丁语的 fid 意为 to trust,它的变形为fi, fy, feder, feal 等。同义词根有来自拉丁语的cred 和来自盎格鲁-撒克逊语的 tru[tro]。"
174,CLIN[CLI],"来自拉丁语的 clin 意为 to bend,它的变形为cli。同义词根有来自拉丁语的 cliv, flect/flex, cumb/cub和来自盎格鲁-撒克逊语的 croach[croch, crouch, crotch, crutch, crook]。"
175,PUT,来自拉丁语的 put 意为 to think。
176,"UT, US","来自拉丁语的 ut, us 意为 to use。"
177,"CUR, CURS [COR, COUR, COURS, COARS]","来自拉丁语的 cur, curs 意为 to run,它们的变形为 cor, cour, cours, coars。同义词根有来自拉丁语的 lop, 来自希腊语的 drom, 以及来自盎格鲁-撒克逊语的 run。此外,还有意为 vehicle 的 car/char 等。"
178,SEMIN [SEMEN],"来自拉丁语的 semin 意为 seed, 它的变形为 semen。同义词根有来自希腊语的 spor。"
179,TORT [TOR],"来自拉丁语的 tort 意为 to twist, 它的变形为 tor。"
180,SEMBL,"来自拉丁语的 sembl 意为 same, equal。同义词根有来自拉丁语的 equ, simil/simul, par, ident以及来自希腊语的tauto。"
181,"QUISIT, QUEST, QUIR, QUER[QUIST]","来自拉丁语的 quisit, quest, quir, quer 意为 to ask, to seek, 变形为 quist。同义词根为来自拉丁语的rog。"
182,"POT [POW, POSS]","来自拉丁语的 pot 意为 powerful, capable of, 它的变形有 pow, poss 等。"
183,PASS,"来自拉丁语的 pass 意为 to stride, to step。此外, pass 也有 to feel 的意思, 注意区分。"
184,"BOL, BL, BAL","来自拉丁语的 bol, bl, bal 意为 to throw。同义词根有来自拉丁语的 ject [jec, jac], lanc [launc], sip等。"
185,BAR,来自拉丁语的 bar 意为 bar。
186,BODY,"来自盎格鲁-撒克逊语的body意为body。同义词根有来自拉丁语的 corp 和来自希腊语的som, somat。词根 buddy 是它的变形。"
187,"CROCH [CROACH, CROUCH, CROTCH, CRUTCH, CROOK]","来自盎格鲁-撒克逊语的 croch 意为 hook, to bend。其变形为 croach, crouch, crotch, crutch, crook。同义词根有来自拉丁语的 clin/cli, cliv, flect/flex, cumb/cub 等。"
188,GROSS [GROC],"来自盎格鲁-撒克逊语的gross 意为 large, thick,它的变形为groc。"
189,"AM[EM, IM, M]","来自拉丁语的 am 意为 to love, friendly,它的变形为 em, im, m等。同义词根有来自希腊语的 phil 和 ero。"
190,TAIL,"来自盎格鲁-撒克逊语的 tail 意为 to cut。同义词根有来自希腊语的 tom[tem] 和来自拉丁语的 cis, cop/coup, scind / scis, sect, sever, tons, trench 等。"
191,LIGHT,"来自盎格鲁-撒克逊语的light意为light。同义词根有来自拉丁语的lumin [lun], luc/lux/lust和来自希腊语的 photo。"
192,"CUMB, CUB","来自拉丁语的 cumb, cub 意为 to lean, to lie。同义词根有来自盎格鲁-撒克逊语的 croch[croach, crouch, crotch, crutch, crook] 和来自拉丁语的 clin/cli, cliv, flect/flex 等。"
193,BELL,"来自拉丁语的 bell 意为 beautiful, war, 在盎格鲁-撒克逊语里意为 bag, to swell。当 bell 用做 beautiful 这一含义时,其同义词根有来自拉丁语的 pulchr 和来自希腊语的 calli, cosmet。"
194,COM,"来自拉丁语的 com 意为 revel, hair, sleep。"
195,"PER[PIR, PAR]","来自拉丁语的 per 意为 to try out, to risk,它的变形为pir 和 par。"
196,CLAV,来自拉丁语的 clav 意为 key。
197,NUMER,"来自拉丁语的 numer 意为 number, to count。同义词根有 arithm。"
198,ALT [HAUT],"来自拉丁语的 alt 意为 high,它的变形有来自法语的 haut。同义词根有来自希腊语的 acro。"
199,"STINCT, STING, STIG, STI","来自拉丁语的 stinct, sting, stig, sti 意为 to prick, to bind。同义词根有来自拉丁语的 pung/punct。"
200,LONG,来自拉丁语的 long 意为 long。
201,RADIC[RADIS],"来自拉丁语的 radic 意为 root, 它的变形为 radis。"
202,LIP,来自拉丁语的 lip 意为 to leave。同义词根有来自拉丁语的 linqu/lic/lict。
203,MANU [MAN],"来自拉丁语的 manu 意为 hand,它的变形为 man。同义词根有来自希腊语的 chiro。"
204,HOD[OD],"来自拉丁语的 hod 意为 way, road,其变形为 od。"
205,ORB,"来自拉丁语的 orb 意为 circle, track。"
206,TERMIN,"来自拉丁语的 termin 意为 end, limit, boundary。同义词根有来自拉丁语的 fin, ultim 和来自希腊语的 bys。"
