ID,前缀,来源
46,HYPO-,"来源于希腊语，意为""under, less""，与其意思相反的前缀是HYPER。"
47,INTRA- INTRO-,"INTRA意为""within""，来源于拉丁语。与INTRA意思相近的前缀是EXTRA。前缀INTRO来源于拉丁语，意为""into, inward""，反义前缀是EXTRO。"
48,MACRO-,"来源于希腊语，意为""large, excessive, long""，与其意思相反的前缀是MICRO。此外，与MACRO意思相近的前缀有GRAND（aggrandize, grandiloquent），MAGN（magnify, Magna Carta, magnanimity），MAJ （majority,major-domo） , MAX（maxim, maximum），MAHA（mahatma），MEGA（megaphone, megalithic），MEGALO（megalomaniac），METRO（metropolitan, metropolis）等。"
49,META-,"来源于希腊语，意为""change""（metamorphosis, metathesis）和""beyond, alter""（metaphysics, metapsychology）。在元音字母和辅音字母h前，字母A脱落，它还有大多数前缀都含有的""intensive""的含义。"
50,MICRO-,"来源于希腊语，意为""small""。与其意思相近的前缀有MINI（minimum, minority, minus, minor, minimize, miniature, minute, mince, minion, minister, minious, miniskirt, comminution）。"
51,MIS-,"来源于盎格鲁-撒克逊语,意为""bad(ly),wrong(ly)"",大多情况下在名词、形容词、动词和副词前,表示否定含义。"
52,MISO-,"来源于希腊语 misein，意为""hate""，与PHIL意思相反。在元音字母前，字母O脱落，变形为MIS，注意不要与含义为""bad""的前缀MIS混淆。"
53,MONO-,"来源于希腊语，意为""one, alone""。在元音字母前，字母O脱落。"
54,MULTI-,"来源于拉丁语的 multus，意为""many, much""。"
55,NEO-,"来源于希腊语，意为""new, recent, latest""。NOV（novice, nova, innovate）与NEO意思相近。"
56,NON-,"意为否定含义""nor""，目前是IN和UN以外的否定前缀。"
57,OCTO-,"来源于希腊语，意为""eight""。在元音字母前，字母O脱落。"
58,OMNI-,"来源于拉丁语 omnis，意为""all""。"
59,OUT-,"来源于盎格鲁-撒克逊语，意为""outside""（outbuilding, outpatient），""outward""（outbound, outcast），""better, greater, more than""（outrun, outdo）等。"
60,OVER-,"来源于盎格鲁-撒克逊语，意为""above, across, beyond, excessive""。"
61,PAN-,"来源于希腊语，意为""all""。PANTO是它的变形。"
62,PERI-,"来源于希腊语，意为""around""。"
63,POLY-,"来源于希腊语，意为""many""。"
64,POST-,"来源于拉丁语，意为""after, behind""。POST与前缀ANTE意思相反，这里的POST不是mailing""邮件""的意思中，意为""after""。此外，POSTER（posterior, posterity）意为""coming after""。"
65,PROTO-,"来源于希腊语，意为""first""。在元音字母前，字母O脱落。意为""first""的同根词有PRI（priority），PRIN（principled），PRIM（prima donna）等。"
66,PSEUDO-,"来源于希腊语 pseudes，意为""false, untrue""。在元音字母前，字母O脱落，PSEUDO的变形为PSEUD。"
67,PSYCHO-,"来源于希腊语，意为""breath, mind, soul""等。在元音字母前，字母O脱落。"
68,QUADRU-,"来源于拉丁语，意为""four""。在元音字母前，字母U脱落。"
69,RETRO-,"来源于拉丁语，意为""backward, back""。"
70,SE-,"来源于拉丁语，是SUI的变形，意为""apart, without""。SED是它的变形。"
71,SEMI-,"来源于拉丁语，意为""half""（semicircle），""partly""（semicivilized）。同义前缀有DEMI（demigod）和HEMI（hemisphere）。"
72,SYN-,"来源于希腊语，意为""with, together, at the same time, by means of, alike""等。SYN在辅音字母b, m, p前变形为SYM（symbol, symmetry, symptom），在辅音字母l前变形为SYL（syllabus, syllogism）。此外，在辅音字母s, z前，字母N偶尔也会脱落，脱落变为SY（systematic, syzygy）。"
73,TELE-,"来源于希腊语，意为""far""。"
74,TRI-,"来源于拉丁语，意为""three""。"
75,ULTRA-,"来源于拉丁语，意为""beyond, exceeding""，同义前缀为ULTER。"
76,UN-,"来源于盎格鲁-撒克逊语，在形容词或副词前，意为""not""；在名词前，意为""lack of, reverse of""。此外，用做""cause to be no longer, degrade from the position of""等意思时，主要用于把名词转为动词，或表示于原动词意思相对相反的行为。"
77,UNDER-,"来源于盎格鲁-撒克逊语，与前缀OVER意思相反，意为""below, beneath""。此外，前缀UNDER在动词前，意为""from beneath""；在形容词前，意为""insufficiently, not completely""；在名词前，意为""inferior, subordinate""。"
78,UNI-,"来源于拉丁语，意为""one""。在元音字母前，字母I脱落。"
79,UP-,"来源于盎格鲁-撒克逊语，意为""upward, thoroughly""。"
80,WITH-,"来源于盎格鲁-撒克逊语，意为""against, away, back""。"
81,BE-,"来源于盎格鲁-撒克逊语，意为""make""，有时相当于""by""的意思，由此还延伸出表达时间和地点的含义。"
82,CENT-,"来源于拉丁语，意为""hundred""。"
