═══════════════════════════════════════,,,,,,,,
,,,,,,,,,
场景,Gemini调用次数,GPT调用次数,Gemini Tokens,GPT Tokens,Gemini成本(¥),GPT成本(¥),总成本(¥),说明
,,,,,,,,,
■ 乐观（单义词为主）,,,,,,,,,
  生成（Gemini×6维度）,600,,940000+160000,,5.218,,,"100词×6维度,input+output"
  生成（GPT×例句）,,100,,112000+20000,,3.475,,"100词×1维度,input+output"
  质检L2（全Gemini）,490,,413000+49700,,2.597,,,"60%助记有效,90% L1通过"
  重试+重生成（3%）,33,3,,,0.234,0.104,,
  乐观合计,1123,103,,,8.050,3.580,11.629,
,,,,,,,,,
■ 中等（含30%多义词 推荐参考）,,,,,,,,,
  生成（Gemini×6维度）,760,,1192800+205800,,6.659,,,"1.3义项×6维度,syllable不翻倍"
  生成（GPT×例句）,,130,,145600+26000,,4.518,,"1.3义项×100词"
  质检L2（全Gemini）,665,,573750+76613,,3.775,,,"75%助记有效,95% L1通过"
  重试+重生成（8%）,114,10,,,0.835,0.361,,
  中等合计,1539,140,,,11.269,4.879,16.148,
,,,,,,,,,
■ 悲观（多义词+高重试）,,,,,,,,,
  生成（Gemini×6维度）,1060,,1682200+289800,,9.389,,,"1.8义项×6维度,syllable不翻倍"
  生成（GPT×例句）,,180,,201600+36000,,6.254,,"1.8义项×100词"
  质检L2（全Gemini）,882,,781200+101430,,5.073,,,"90%助记有效,98% L1通过"
  重试+重生成（15%）,291,27,,,2.169,0.938,,
  悲观合计,2233,207,,,16.631,7.192,23.823,
,,,,,,,,,
═══════════════════════════════════════,,,,,,,,
五、5批×100词 总成本估算,,,,,,,,
═══════════════════════════════════════,,,,,,,,
,,,,,,,,,
场景,单批成本(¥),5批总成本(¥),Gemini占比,GPT占比,总AI调用次数,每词均价(¥),每词均价(分),
乐观,11.63,58.15,69.2%,30.8%,6130,0.116,11.6分,
中等（推荐参考）,16.15,80.74,69.8%,30.2%,8395,0.161,16.1分,
悲观,23.82,119.12,69.8%,30.2%,12200,0.238,23.8分,
,,,,,,,,,
═══════════════════════════════════════,,,,,,,,
六、成本归因分析（中等场景）,,,,,,,,
═══════════════════════════════════════,,,,,,,,
,,,,,,,,,
成本来源,5批总成本(¥),占比,说明,,,,,,
GPT-5.2 例句生成,22.59,28.0%,仅1个维度但单价高,,,,,,
Gemini 4种助记生成,24.46,30.3%,4个维度×prompt较长,,,,,,
Gemini 质检L2,18.88,23.4%,7个维度语义校验,,,,,,
Gemini 语块+音节生成,4.53,5.6%,2个轻量维度,,,,,,
重试+重生成,5.98,7.4%,8%综合调整,,,,,,
Gemini 其他,4.30,5.3%,,,,,,,
合计,80.74,100.0%,,,,,,,
,,,,,,,,,
═══════════════════════════════════════,,,,,,,,
七、定价基础与假设说明,,,,,,,,
═══════════════════════════════════════,,,,,,,,
,,,,,,,,,
项目,值,来源,,,,,,,
Gemini TEXT INPUT,¥3.65/百万token,AI Gateway model_id=64,,,,,,,
Gemini TEXT OUTPUT,¥21.90/百万token,AI Gateway model_id=64,,,,,,,
GPT-5.2 TEXT INPUT,¥12.78/百万token,AI Gateway model_id=78,,,,,,,
GPT-5.2 TEXT OUTPUT,¥102.20/百万token,AI Gateway model_id=78,,,,,,,
Token估算方式,中文3字节/UTF-8字符 ≈ 1.3token/字,基于prompt文件字节数推算,,,,,,,
例句用GPT原因,例句质量对学生体验影响最大,见prompt_service.py _DIMENSION_MODEL_MAP,,,,,,,
,,,,,,,,,
═══════════════════════════════════════,,,,,,,,
八、成本优化建议,,,,,,,,
═══════════════════════════════════════,,,,,,,,
,,,,,,,,,
优先级,建议,预估节省,节省金额(¥/500词),实施难度,说明,,,,
1,例句改用Gemini（如质量可接受）,~28%,~¥22.6,低,改1行配置即可验证,,,,
2,批量调用（多词合并一次请求）,15-25%,~¥16,中,减少system prompt重复发送,,,,
3,Prompt精简（去除冗余示例）,5-10%,~¥6,低,最长prompt 5370字节可精简,,,,
4,助记维度合并为2类,~15%,~¥12,高,需产品决策,,,,
